Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: OSCH Architecture: syn_black_box, 0h:00m:00s,     85 MB
work, Entity: osc00 Architecture: osc0, 0h:00m:00s,     85 MB
work, Entity: div00 Architecture: div0, 0h:00m:00s,     85 MB
work, Entity: topdiv00 Architecture: topdiv0, 0h:00m:00s,     85 MB
work, Entity: anda00 Architecture: anda0, 0h:00m:00s,     85 MB
work, Entity: ora00 Architecture: ora0, 0h:00m:00s,     85 MB
work, Entity: nanda00 Architecture: nanda0, 0h:00m:00s,     85 MB
work, Entity: nora00 Architecture: nora0, 0h:00m:00s,     85 MB
work, Entity: xora00 Architecture: xora0, 0h:00m:00s,     85 MB
work, Entity: xnora00 Architecture: xnora0, 0h:00m:00s,     85 MB
work, Entity: nota00 Architecture: nota0, 0h:00m:00s,     85 MB
work, Entity: xnor00 Architecture: xnor0, 0h:00m:00s,     85 MB
work, Entity: topadder8bit00 Architecture: topadder8bit0, 0h:00m:00s,     85 MB
work, Entity: and00 Architecture: and0, 0h:00m:00s,     85 MB
work, Entity: xor00 Architecture: xor0, 0h:00m:00s,     85 MB
work, Entity: topha00 Architecture: topha0, 0h:00m:00s,     85 MB
work, Entity: or00 Architecture: or0, 0h:00m:00s,     85 MB
work, Entity: topfa00 Architecture: topfa0, 0h:00m:00s,     85 MB
work, Entity: topmult8bit00 Architecture: topmult8bit0, 0h:00m:00s,     85 MB
work, Entity: add00 Architecture: add0, 0h:00m:00s,     85 MB
work, Entity: sub00 Architecture: sub0, 0h:00m:00s,     85 MB
work, Entity: mult00 Architecture: mult0, 0h:00m:00s,     85 MB
work, Entity: ac00 Architecture: ac0, 0h:00m:00s,     85 MB
work, Entity: topalu00 Architecture: topalu0, 0h:00m:00s,     85 MB
