Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: OSCH Architecture: syn_black_box, 0h:00m:00s,     80 MB
work, Entity: osc00 Architecture: osc0, 0h:00m:00s,     80 MB
work, Entity: div00 Architecture: div0, 0h:00m:00s,     80 MB
work, Entity: topdiv00 Architecture: topdiv0, 0h:00m:00s,     80 MB
work, Entity: ora00 Architecture: ora0, 0h:00m:00s,     80 MB
work, Entity: anda00 Architecture: anda0, 0h:00m:00s,     80 MB
work, Entity: nota00 Architecture: nota0, 0h:00m:00s,     80 MB
work, Entity: nanda00 Architecture: nanda0, 0h:00m:00s,     80 MB
work, Entity: nora00 Architecture: nora0, 0h:00m:00s,     80 MB
work, Entity: xora00 Architecture: xora0, 0h:00m:00s,     80 MB
work, Entity: xnora00 Architecture: xnora0, 0h:00m:00s,     80 MB
work, Entity: ac00 Architecture: ac0, 0h:00m:00s,     80 MB
work, Entity: ha00 Architecture: ha0, 0h:00m:00s,     80 MB
work, Entity: or00 Architecture: or0, 0h:00m:00s,     80 MB
work, Entity: fa00 Architecture: fa0, 0h:00m:00s,     80 MB
work, Entity: and00 Architecture: and0, 0h:00m:00s,     80 MB
work, Entity: xnor00 Architecture: xnor0, 0h:00m:00s,     80 MB
work, Entity: xor00 Architecture: xor0, 0h:00m:00s,     80 MB
work, Entity: adder8bits Architecture: adder8bits0, 0h:00m:00s,     80 MB
work, Entity: addera00 Architecture: addera0, 0h:00m:00s,     80 MB
work, Entity: subsa00 Architecture: subsa0, 0h:00m:00s,     80 MB
work, Entity: mult8bits Architecture: mult8bits0, 0h:00m:00s,     80 MB
work, Entity: OR0 Architecture: or00, 0h:00m:00s,     80 MB
work, Entity: AND0 Architecture: and00, 0h:00m:00s,     80 MB
work, Entity: XOR0 Architecture: xor00, 0h:00m:00s,     80 MB
work, Entity: TOPADDER0 Architecture: topadder00, 0h:00m:00s,     80 MB
work, Entity: TOPADDER1 Architecture: topadder01, 0h:00m:00s,     80 MB
work, Entity: topmult00 Architecture: topmult0, 0h:00m:00s,     80 MB
work, Entity: topalu00 Architecture: topalu0, 0h:00m:00s,     80 MB
