@W: CD638 :"C:\Users\Yair\Desktop\alu02\alu02\alu\topalu00.vhdl":52:16:52:22|Signal soutssb is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Yair\Desktop\alu02\alu02\alu\topalu00.vhdl":52:25:52:28|Signal sout is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Yair\Desktop\alu02\alu02\alu\topalu00.vhdl":53:15:53:20|Signal sledsb is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Yair\Desktop\alu02\alu02\alu\topalu00.vhdl":53:23:53:27|Signal sslad is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\Yair\Desktop\alu02\alu02\alu\topalu00.vhdl":53:30:53:34|Signal sslsb is undriven. Either assign the signal a value or remove the signal declaration.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outFlagbarrelrotR_cl_6. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(7). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(6). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(5). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(4). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(3). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(2). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(1). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":26:4:26:5|Pruning unused register outRDbarrelrotR_cl_7(0). Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\Yair\Desktop\alu02\alu02\alu\barrelrotR00.vhdl":27:7:27:32|Sharing sequential element outRDbarrelrotR_tri_enable. Add a syn_preserve attribute to the element to prevent sharing.
