Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: OSCH Architecture: syn_black_box, 0h:00m:00s,     81 MB
work, Entity: osc00 Architecture: osc0, 0h:00m:00s,     81 MB
work, Entity: div00 Architecture: div0, 0h:00m:00s,     81 MB
work, Entity: div01 Architecture: div0, 0h:00m:00s,     81 MB
work, Entity: topdiv00 Architecture: topdiv0, 0h:00m:00s,     81 MB
work, Entity: init00 Architecture: init0, 0h:00m:00s,     81 MB
work, Entity: readData00 Architecture: readdata0, 0h:00m:00s,     81 MB
work, Entity: sust00 Architecture: sust0, 0h:00m:00s,     81 MB
work, Entity: compadd00 Architecture: compadd0, 0h:00m:00s,     81 MB
work, Entity: shift800 Architecture: shift80, 0h:00m:00s,     81 MB
work, Entity: shift1200 Architecture: shift120, 0h:00m:00s,     81 MB
work, Entity: ac800 Architecture: ac80, 0h:00m:00s,     81 MB
work, Entity: ac1200 Architecture: ac120, 0h:00m:00s,     81 MB
work, Entity: contIter00 Architecture: contiter0, 0h:00m:00s,     81 MB
work, Entity: uc00 Architecture: uc0, 0h:00m:00s,     81 MB
work, Entity: pc00 Architecture: pc0, 0h:00m:00s,     81 MB
work, Entity: checkCode00 Architecture: checkcode0, 0h:00m:00s,     81 MB
work, Entity: memProg00 Architecture: memprog0, 0h:00m:00s,     81 MB
work, Entity: contring00 Architecture: contring0, 0h:00m:00s,     81 MB
work, Entity: coderNibbles00 Architecture: codernibbles0, 0h:00m:00s,     81 MB
work, Entity: mux00 Architecture: mux0, 0h:00m:00s,     81 MB
work, Entity: topbcd00 Architecture: topbcd0, 0h:00m:00s,     81 MB
