Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: OSCH Architecture: syn_black_box, 0h:00m:00s,     81 MB
work, Entity: osc00 Architecture: osc0, 0h:00m:00s,     81 MB
work, Entity: div00 Architecture: div0, 0h:00m:00s,     81 MB
work, Entity: toposc00 Architecture: toposc0, 0h:00m:00s,     81 MB
work, Entity: lcdcontconfig00 Architecture: lcdcontconfig0, 0h:00m:00s,     81 MB
work, Entity: lcdconfig00 Architecture: lcdconfig0, 0h:00m:00s,     81 MB
work, Entity: contring00 Architecture: contring0, 0h:00m:00s,     81 MB
work, Entity: coder00 Architecture: coder0, 0h:00m:00s,     81 MB
work, Entity: topkey00 Architecture: topkey0, 0h:00m:00s,     81 MB
work, Entity: lcdmux00 Architecture: lcdmux0, 0h:00m:00s,     81 MB
work, Entity: toplcd00 Architecture: toplcd0, 0h:00m:00s,     81 MB
